Energy (GeV),Mass (GeV),Cross Section / C_{\mu 	au}^2 (fb)
100,1.77,2.8331055475816953
100,2.0,2.2605934502362284
100,2.36,1.6473248244013978
100,2.7199999999999998,1.2222651455006068
100,3.08,0.9102942759751604
100,3.44,0.6786667833363487
100,3.8,0.5065449435490468
100,4.16,0.378128245357382
100,4.52,0.28180672792174905
100,4.88,0.20942470042442832
100,5.24,0.15504974300472346
100,5.6,0.11424273573172708
100,5.96,0.08367761187937853
100,6.32,0.060853232503577846
100,6.68,0.0438821415268856
100,7.04,0.031324698548113185
100,7.3999999999999995,0.022092408108902933
100,7.76,0.015358269098666675
100,8.120000000000001,0.010494232227979822
100,8.48,0.00702219610690081
100,8.84,0.004580065913539271
100,9.2,0.0028927747026125843
100,9.559999999999999,0.001753698808226774
100,9.92,0.001008290018364657
100,10.28,0.0005395519355862071
100,10.64,0.0002612634179855419
100,11.0,0.00010892678998810687
100,11.36,3.553697040891872e-05
100,11.719999999999999,7.224566642352034e-06
100,12.08,3.8941840577532254e-07
100,12.44,0.0
100,12.799999999999999,0.0
100,13.16,0.0
100,13.52,0.0
100,13.879999999999999,0.0
100,14.24,0.0
100,14.6,0.0
100,14.959999999999999,0.0
100,15.32,0.0
100,15.68,0.0
100,16.04,0.0
100,16.4,0.0
100,16.759999999999998,0.0
100,17.119999999999997,0.0
100,17.479999999999997,0.0
100,17.84,0.0
100,18.2,0.0
100,18.56,0.0
100,18.919999999999998,0.0
100,19.28,0.0
100,19.64,0.0
100,20.0,0.0
100,21.0,0.0
100,22.0,0.0
100,23.0,0.0
100,24.0,0.0
100,25.0,0.0
100,26.0,0.0
100,27.0,0.0
100,28.0,0.0
100,29.0,0.0
100,30.0,0.0
100,31.0,0.0
100,32.0,0.0
100,33.0,0.0
100,34.0,0.0
100,35.0,0.0
100,36.0,0.0
100,37.0,0.0
100,38.0,0.0
100,39.0,0.0
100,40.0,0.0
100,41.0,0.0
100,42.0,0.0
100,43.0,0.0
100,44.0,0.0
100,45.0,0.0
100,46.0,0.0
100,47.0,0.0
100,48.0,0.0
100,49.0,0.0
100,50.0,0.0
100,51.0,0.0
100,52.0,0.0
100,53.0,0.0
100,54.0,0.0
100,55.0,0.0
100,56.0,0.0
100,57.0,0.0
100,58.0,0.0
100,59.0,0.0
100,60.0,0.0
100,61.0,0.0
100,62.0,0.0
100,63.0,0.0
100,64.0,0.0
100,65.0,0.0
