Energy (GeV),Mass (GeV),Cross Section / C_{\mu 	au}^2 (fb)
100,1.77,2.575782676402626
100,2.0,2.044533553738692
100,2.36,1.4824410963569408
100,2.7199999999999998,1.0983844009491848
100,3.08,0.818042033052384
100,3.44,0.6097968951144382
100,3.8,0.4549222606737675
100,4.16,0.3394370022439883
100,4.52,0.2529055938855849
100,4.88,0.18790153839349227
100,5.24,0.13907962560299017
100,5.6,0.10244888768728894
100,5.96,0.07502180122894749
100,6.32,0.05454514887188579
100,6.68,0.03932495104892822
100,7.04,0.028065499602816242
100,7.3999999999999995,0.01979003137520435
100,7.76,0.013754890213100703
100,8.120000000000001,0.009396693196350088
100,8.48,0.0062864356257766865
100,8.84,0.004099322669272085
100,9.2,0.0025885496603493823
100,9.559999999999999,0.001568854958849408
100,9.92,0.0009018727544194055
100,10.28,0.0004824496357497847
100,10.64,0.00023353181009120073
100,11.0,9.729371463047604e-05
100,11.36,3.1722647003006766e-05
100,11.719999999999999,6.43570229669772e-06
100,12.08,3.441767907206045e-07
100,12.44,0.0
100,12.799999999999999,0.0
100,13.16,0.0
100,13.52,0.0
100,13.879999999999999,0.0
100,14.24,0.0
100,14.6,0.0
100,14.959999999999999,0.0
100,15.32,0.0
100,15.68,0.0
100,16.04,0.0
100,16.4,0.0
100,16.759999999999998,0.0
100,17.119999999999997,0.0
100,17.479999999999997,0.0
100,17.84,0.0
100,18.2,0.0
100,18.56,0.0
100,18.919999999999998,0.0
100,19.28,0.0
100,19.64,0.0
100,20.0,0.0
100,21.0,0.0
100,22.0,0.0
100,23.0,0.0
100,24.0,0.0
100,25.0,0.0
100,26.0,0.0
100,27.0,0.0
100,28.0,0.0
100,29.0,0.0
100,30.0,0.0
100,31.0,0.0
100,32.0,0.0
100,33.0,0.0
100,34.0,0.0
100,35.0,0.0
100,36.0,0.0
100,37.0,0.0
100,38.0,0.0
100,39.0,0.0
100,40.0,0.0
100,41.0,0.0
100,42.0,0.0
100,43.0,0.0
100,44.0,0.0
100,45.0,0.0
100,46.0,0.0
100,47.0,0.0
100,48.0,0.0
100,49.0,0.0
100,50.0,0.0
100,51.0,0.0
100,52.0,0.0
100,53.0,0.0
100,54.0,0.0
100,55.0,0.0
100,56.0,0.0
100,57.0,0.0
100,58.0,0.0
100,59.0,0.0
100,60.0,0.0
100,61.0,0.0
100,62.0,0.0
100,63.0,0.0
100,64.0,0.0
100,65.0,0.0
100,66.0,0.0
100,67.0,0.0
100,68.0,0.0
100,69.0,0.0
100,70.0,0.0
100,71.0,0.0
100,72.0,0.0
100,73.0,0.0
100,74.0,0.0
100,75.0,0.0
100,76.0,0.0
100,77.0,0.0
100,78.0,0.0
100,79.0,0.0
100,80.0,0.0
100,81.0,0.0
100,82.0,0.0
100,83.0,0.0
100,84.0,0.0
100,85.0,0.0
